350,Daniel Brands,2043327,5440,5010,430
351,Bernd Karbacher,2043057,0,0,0
352,Marinko Matosevic,2041040,11500,11500,0
353,Mikael Tillstrom,2030525,0,0,0
354,David Pate,2028823,0,0,0
355,Marco Chiudinelli,2023620,0,0,0
356,Dick Norman,2019581,0,0,0
357,Eddie Dibbs,2016426,0,0,0
358,Marcelo Filippini,2016190,0,0,0
359,Ronald Agenor,2014601,0,0,0
360,Jose Luis Clerc,1987036,0,0,0
361,Peter Fleming,1986799,0,0,0
362,Kristof Vliegen,1964020,0,0,0
363,Juan Sebastian Cabal,1961211,234405,0,234405
364,Sam Groth,1950436,44174,8570,35604
365,Pat Cash,1950345,0,0,0
366,Illya Marchenko,1944899,0,0,0
367,Oscar Hernandez,1943856,0,0,0
368,Christo Van Rensburg,1912831,0,0,0
369,Chris Woodruff,1900659,0,0,0
370,Robert Seguso,1888353,0,0,0
371,Lars Burgsmuller,1887164,0,0,0
372,Maximo Gonzalez,1886965,24548,1040,23508
373,Andreas Haider Maurer,1885717,130101,109033,21068
374,Martin Jaite,1873881,0,0,0
375,Frank Dancevic,1864462,20030,19220,810
376,Yuichi Sugita,1855176,241605,236060,5545
377,Jordi Arrese,1847136,0,0,0
378,Santiago Gonzalez,1845391,56523,0,56523
379,Adrian Voinea,1836277,0,0,0
380,Marcos Ondruska,1835129,0,0,0
381,Galo Blanco,1832691,0,0,0
382,Piet Norval,1832303,0,0,0
383,Jimmy Arias,1831140,0,0,0
384,Go Soeda,1812001,45220,43780,1440
385,Blaz Kavcic,1811541,92025,90730,1295
386,Diego Nargiso,1807857,0,0,0
387,Tim Smyczek,1803419,126013,124513,1500
388,Harold Solomon,1802769,0,0,0
389,Michael Kohlmann,1798467,0,0,0
390,Denis Kudla,1795186,128252,122051,6201
391,Mariano Puerta,1781372,0,0,0
392,Jim Pugh,1780466,0,0,0
393,Stan Smith,1774811,0,0,0
394,Filip Krajinovic,1763753,417627,368595,49032
395,Daniele Bracciali,1749497,381,0,381
396,Thiemo de Bakker,1748572,29153,23308,5845
397,Lucas Arnold Ker,1745936,0,0,0
398,Jared Donaldson,1731833,274687,274687,0
399,David Macpherson,1729899,0,0,0
400,Eric Butorac,1728454,0,0,0
401,Raemon Sluiter,1726539,0,0,0
402,Roscoe Tanner,1696198,0,0,0
403,Henrik Holm,1693931,0,0,0
404,Javier Frana,1691848,0,0,0
405,Guillermo Perez Roldan,1686459,0,0,0
406,Scott Lipsky,1684145,26619,0,26619
407,Nikoloz Basilashvili,1669787,260115,236007,24108
408,Robert Farah,1659594,234405,0,234405
409,Stefano Pescosolido,1657671,0,0,0
410,Chris Guccione,1654903,0,0,0
411,Eliot Teltscher,1653997,0,0,0
412,Florin Mergea,1653609,19278,0,19278
413,Horst Skoff,1651858,0,0,0
414,Eduardo Schwank,1648048,0,0,0
415,Paul Annacone,1646602,0,0,0
416,Patrik Kuhnen,1646328,0,0,0
417,Mate Pavic,1643566,549562,0,549562
418,Rogerio Dutra Silva,1637779,133654,129669,3985
419,Flavio Cipolla,1632711,6196,4654,1542
420,Derrick Rostagno,1621535,0,0,0
421,Paul Goldstein,1620456,0,0,0
422,Omar Camporese,1610475,0,0,0
423,Ken Rosewall,1602700,0,0,0
424,Sherwood Stewart,1602565,0,0,0
425,Jiri Vanek,1600539,0,0,0
426,Scott Draper,1594598,0,0,0
427,Antony Dupuis,1591333,0,0,0
428,Arthur Ashe,1584909,0,0,0
429,Harel Levy,1579908,0,0,0
430,John Millman,1576311,199099,189711,9388
431,Bobby Reynolds,1573292,0,0,0
432,Rod Laver,1565413,0,0,0
433,Andreas Beck,1564600,0,0,0
434,Martin Verkerk,1564520,0,0,0
435,Gaston Etlis,1559459,0,0,0
436,Heinz Gunthardt,1550007,0,0,0
437,Joachim Johansson,1549039,0,0,0
438,Kevin Kim,1545970,0,0,0
439,Alberto Mancini,1535520,0,0,0
440,Ruben Bemelmans,1532056,129325,127073,2252
441,Kenny De Schepper,1531173,32156,30986,1170
442,Danie Visser,1528201,0,0,0
443,Michal Mertinak,1511590,0,0,0
444,Evgeny Korolev,1510466,0,0,0
445,Libor Pimek,1509018,0,0,0
446,Filip Dewulf,1503987,0,0,0
447,Karsten Braasch,1497244,0,0,0
448,Luiz Mattar,1484831,0,0,0
449,Ricardo Mello,1484044,0,0,0
450,Tom Nijssen,1474432,0,0,0
451,Francisco Roig,1466830,0,0,0
452,Somdev Devvarman,1459122,0,0,0
453,Radu Albot,1457024,188544,160489,28055
454,Peter Gojowczyk,1452210,282996,269388,13608
455,David Sanchez,1451767,0,0,0
456,Mark Edmondson,1451680,0,0,0
457,Slobodan Zivojinovic,1450654,0,0,0
458,Treat Huey,1450012,19675,0,19675
459,Fred Gil,1449715,7936,5458,2478
460,Gary Muller,1447445,0,0,0
461,Balazs Taroczy,1437443,0,0,0
462,Julien Boutter,1430283,0,0,0
463,Jan Hajek,1427267,0,0,0
464,Bill Scanlon,1427007,0,0,0
465,Brian Teacher,1426514,0,0,0
466,Joshua Eagle,1421375,0,0,0
467,Todd Witsken,1420910,0,0,0
468,Martin Vassallo Arguello,1420101,0,0,0
469,Jose Higueras,1406355,0,0,0
470,Jan Apell,1404957,0,0,0
471,Christian Ruud,1399813,0,0,0
472,Manuel Orantes,1398303,0,0,0
473,Tomas Zib,1395816,0,0,0
474,Cyril Saulnier,1391494,0,0,0
475,Ramon Delgado,1385410,0,0,0
476,Gene Mayer,1382422,0,0,0
477,Andreas Vinciguerra,1381556,0,0,0
478,Mark Kratzmann,1378936,0,0,0
479,Cristiano Caratti,1368916,0,0,0
480,Hendrik Dreekmann,1366435,0,0,0
481,Robert Kendrick,1365211,0,0,0
482,Pere Riba,1363323,480,156,324
483,John Laffnie de Jager,1357700,0,0,0
484,Mikael Pernfors,1357188,0,0,0
485,Jean Philippe Fleurian,1352977,0,0,0
486,Christopher Kas,1350322,0,0,0
487,Rik De Voest,1349991,0,0,0
488,Marsel Ilhan,1349443,4574,4520,54
489,Darren Cahill,1349247,0,0,0
490,Peter Luczak,1348936,0,0,0
491,Marius Copil,1344692,190854,179793,11061
492,Alexander Waske,1339987,0,0,0
493,Jeremy Bates,1339965,0,0,0
494,Tatsuma Ito,1339923,32978,31448,1530
495,Daniel Evans,1339693,0,0,0
496,Michal Przysiezny,1339415,3595,2785,810
497,Alex Calatrava,1335933,0,0,0
498,Vijay Amritraj,1331913,0,0,0
499,Brian MacPhie,1331539,0,0,0
500,Joao Souza,1329423,22895,21100,1795
501,Andrew Ilie,1327838,0,0,0
502,Simon Greul,1320950,0,0,0
503,Gilbert Schaller,1317163,0,0,0
504,Vladimir Voltchkov,1315133,0,0,0
505,Luke Jensen,1313255,0,0,0
506,Matthias Bachinger,1309830,66248,66248,0
507,Grant Stafford,1307208,0,0,0
508,Dominic Inglot,1305763,84363,0,84363
509,Goran Prpic,1303639,0,0,0
510,Sergio Roitman,1296022,0,0,0
511,Daniil Medvedev,1291116,351751,344021,7730
512,Tim Wilkison,1289085,0,0,0
513,Jan Gunnarsson,1285040,0,0,0
514,Michael Venus,1282570,119913,5075,114838
515,Sebastian Prieto,1271907,0,0,0
516,George Bastl,1271109,0,0,0
517,Ramesh Krishnan,1263130,0,0,0
518,Santiago Ventura,1260406,0,0,0
519,Christian Bergstrom,1258492,0,0,0
520,Tom Okker,1257200,0,0,0
521,Lionel Roux,1255648,0,0,0
522,Thierry Champion,1255229,0,0,0
523,Francisco Montana,1248094,0,0,0
524,Grega Zemlja,1242858,0,0,0
525,Flavio Saretta,1239319,0,0,0
526,Horacio De La Pena,1234768,0,0,0
527,Irakli Labadze,1234668,0,0,0
528,Paul McNamee,1233615,0,0,0
529,Hernan Gumy,1226776,0,0,0
530,James Ward,1225898,2914,2914,0
531,Ivan Navarro,1222289,0,0,0
532,Leos Friedl,1221403,0,0,0
533,Martin Rodriguez,1221361,0,0,0
534,Bryan Shelton,1220283,0,0,0
535,John Alexander,1214079,0,0,0
536,Jaime Oncins,1211476,0,0,0
537,Juan Antonio Marin,1210117,0,0,0
538,Neil Broad,1205610,0,0,0
539,Ivo Minar,1199719,0,0,0
540,Jordi Burillo,1198126,0,0,0
541,Chris Haggard,1196035,0,0,0
542,John van Lottum,1188163,0,0,0
543,Thomas Fabbiano,1184936,163784,153434,10350
544,Brian Baker,1184653,0,0,0
545,Jeff Coetzee,1178517,0,0,0
546,Marcos Daniel,1177189,0,0,0
547,Jonathan Marray,1173631,0,0,0
548,Taylor Fritz,1173448,204770,201560,3210
549,Jan Kroslak,1169329,0,0,0
550,Kelly Jones,1168278,0,0,0
551,Robert Lutz,1165276,0,0,0
552,Arnaud Di Pasquale,1162796,0,0,0
553,Michel Kratochvil,1159379,0,0,0
554,Facundo Bagnis,1156660,36470,31725,4745
555,Wayne Odesnik,1155255,0,0,0
556,Paul Capdeville,1150846,0,0,0
557,Frances Tiafoe,1146416,297160,282852,14308
558,Jimmy Wang,1145246,1620,0,1620
559,Rodolphe Gilbert,1143269,0,0,0
560,Jean Rene Lisnard,1142109,0,0,0
561,Jesse Levine,1131456,0,0,0
562,Peter Lundgren,1130516,0,0,0
563,Kristian Pless,1127884,0,0,0
564,Denis Shapovalov,1126520,297593,279993,17600
565,Michiel Schapers,1124730,0,0,0
566,Tim Gullikson,1121880,0,0,0
567,Shuzo Matsuoka,1117112,0,0,0
568,Michael Tebbutt,1114448,0,0,0
569,Andrew Florent,1113285,0,0,0
570,Petr Pala,1106011,0,0,0
571,Franco Davin,1101560,0,0,0
572,Eric Jelen,1100059,0,0,0
573,Alejandro Gonzalez,1099330,40725,38715,2010
574,Danai Udomchoke,1095170,0,0,0
575,James Duckworth,1092166,16070,16070,0
576,Thanasi Kokkinakis,1089749,151309,143991,7318
577,Daniel Munoz de la Nava,1089468,8962,8602,360
578,Steve Denton,1084664,0,0,0
579,Cecil Mamiit,1084438,0,0,0
580,Jordan Thompson,1083347,101560,89407,12153
581,Glenn Michibata,1081667,0,0,0
582,Peter Polansky,1080350,109586,102090,7496
583,Nicolas Pereira,1077159,0,0,0
584,Colin Fleming,1076823,0,0,0
585,Jordan Kerr,1071373,0,0,0
586,Gastao Elias,1068023,45062,44511,551
587,Dick Stockton,1063385,0,0,0
588,John Newcombe,1062408,0,0,0
589,Taro Daniel,1062179,129097,127297,1800
590,Inigo Cervantes,1059319,11922,4149,7773
