203,Sabine Appelmans,BEL,2054352
204,Alexandra Dulgheru,ROU,2049556
205,Shelby Rogers,USA,2047640
206,Saisai Zheng,CHN,2031585
207,Aleksandra Wozniak,CAN,2028797
208,Silvia Soler Espinosa,ESP,2023540
209,Dominique Monami,BEL,2013032
210,Elena Bovina,RUS,1997254
211,Tracy Austin,USA,1992380
212,Zi Yan,HKG,1977871
213,Billie Jean King,USA,1966487
214,Ana Konjuh,CRO,1950839
215,Chanelle Scheepers,RSA,1949415
216,Stefanie Voegele,SUI,1939427
217,Kimberly Po Messerli,USA,1926618
218,Tatiana Golovin,FRA,1923053
219,Urszula Radwanska,POL,1893604
220,Stephanie Foretz,FRA,1881212
221,Karina Habsudova,SVK,1878228
222,Donna Vekic,CRO,1861636
223,Ruxandra Dragomir Ilie,ROM,1861426
224,Rita Grande,ITA,1858558
225,Kristyna Pliskova,CZE,1851916
226,Barbara Rittner,GER,1829648
227,Mariana Duque Marino,COL,1758913
228,Anna Karolina Schmiedlova,SVK,1755147
229,Elise Mertens,BEL,1748652
230,Ajla Tomljanovic,AUS,1746530
231,Henrieta Nagyova,SVK,1742470
232,Emmanuelle Gagliardi,SUI,1739751
233,Judith Wiesner,AUT,1738253
234,Corina Morariu,USA,1733916
235,Maria Elena Camerin,ITA,1721451
236,Carina Witthoeft,GER,1719403
237,Rosalyn Fairbank Nideffer,RSA,1701944
238,Elizabeth Smylie,AUS,1701837
239,Hao Ching Chan,TPE,1694689
240,Mara Santangelo,ITA,1691518
241,Irina Falconi,USA,1689531
242,Evgeniya Rodina,RUS,1684945
243,Ayumi Morita,JPN,1666846
244,Els Callens,BEL,1666023
245,Yayuk Basuki,INA,1665152
246,Shinobu Asagoe,JPN,1662261
247,Miriam Oremans,NED,1648499
248,Nicole Arendt,USA,1642964
249,Chia Jung Chuang,TPE,1636548
250,Qiang Wang,CHN,1636398
251,Rachel Mcquillan,AUS,1622632
252,Alexandra Fusai,FRA,1608170
253,Aleksandra Krunic,SRB,1603271
254,Olga Savchuk,UKR,1601595
255,Laura Robson,GBR,1601565
256,Alison Van Uytvanck,BEL,1594543
257,Kathy Jordan,USA,1592111
258,Maria Vento Kabchi,VEN,1591803
259,Meilen Tu,USA,1590412
260,Anett Kontaveit,EST,1587392
261,Jelena Kostanic Tosic,CRO,1577765
262,Patty Fendick,USA,1574956
263,Renata Voracova,CZE,1571845
264,Laura Siegemund,GER,1571335
265,Asa Svensson,SWE,1569134
266,Anne Kremer,LUX,1567313
267,Jana Cepelova,SVK,1566912
268,Tatiana Panova,RUS,1561661
269,Anna Tatishvili,USA,1554295
270,Virginia Wade,GBR,1542278
271,Patricia Tarabini,ARG,1541551
272,Melanie Oudin,USA,1535204
273,Mandy Minella,LUX,1523174
274,Melinda Czink,HUN,1504389
275,Romina Oprandi,SUI,1502903
276,Nicole Gibbs,USA,1499122
277,Akgul Amanmuradova,UZB,1498642
278,Alexandra Stevenson,USA,1470505
279,Andreja Klepac,SLO,1462322
280,Magda Linette,POL,1458824
281,Meredith Mcgrath,USA,1448132
282,Gabriela Dabrowski,CAN,1447841
283,Mathilde Johansson,FRA,1446131
284,Kathy Rinaldi Stunkel,USA,1417423
285,Evonne Goolagong Cawley,AUS,1399431
286,Yvonne Meusburger,AUT,1384838
287,Andrea Jaeger,USA,1379066
288,Barbara Potter,USA,1376580
289,Tatiana Poutchek,BLR,1366302
290,Rosie Casals,USA,1364955
291,Kristie Boogert,NED,1364008
292,Fabiola Zuluaga,COL,1358668
293,Florencia Labat,ARG,1350630
294,Lilia Osterloh,USA,1349462
295,Denisa Chladkova,CZE,1343285
296,Laura Granville,USA,1327584
297,Aliaksandra Sasnovich,BLR,1326680
298,Sandra Cecchini,ITA,1319152
299,Yingying Duan,CHN,1313649
300,Anne Keothavong,GBR,1303091
301,Nicole Bradtke,AUS,1298972
302,Karolina Sprem,CRO,1298606
303,Yifan Xu,CHN,1298371
304,Sylvia Hanika,GER,1296560
305,Edina Gallovits Hall,USA,1294978
306,Barbara Paulus,AUT,1294945
307,Katrina Adams,USA,1292658
308,Danka Kovinic,MNE,1286265
309,Alicja Rosolska,POL,1279810
310,Sesil Karatantcheva,BUL,1270988
311,Maria Sanchez Lorenzo,ESP,1268365
312,Alberta Brianti,ITA,1263830
313,Kristina Brandi,PUR,1248528
314,Denisa Allertova,CZE,1247014
315,Linda Wild,USA,1237931
316,Anne Gaelle Sidot,FRA,1236925
317,Nana Smith Rogers,JPN,1234067
318,Jo Durie,GBR,1224016
319,Severine Beltrame,FRA,1221128
320,Raluca Olaru,ROU,1207703
321,Elena Baltacha,GBR,1190893
322,Virginia Ruzici,ROM,1183728
323,Leila Meskhi,GEO,1179720
324,Akiko Morigami,JPN,1177175
325,Robin White,USA,1174349
326,Alexandra Panova,RUS,1166606
327,Anne Smith,USA,1165074
328,Maria Sakkari,GRE,1164653
329,Mercedes Paz,ARG,1163693
330,Andrea Temesvari,HUN,1162635
331,Catalina Castano,COL,1162113
332,Tatiana Perebiynis,UKR,1151157
333,Dianne Balestrat,AUS,1145377
334,Anna Lena Friedsam,GER,1142972
335,Mariaan De Swardt,RSA,1140865
336,Ann Wunderlich,USA,1138377
337,Silvija Talaja,CRO,1135876
338,Eva Birnerova,CZE,1131089
339,Alina Jidkova,RUS,1128467
340,Marlene Weingartner,GER,1127324
341,Catarina Lindqvist,SWE,1126665
342,Bettina Bunge,GER,1126424
343,Elna Reinach,RSA,1114668
344,Naoko Sawamatsu,JPN,1107264
345,Arantxa Rus,NED,1097117
346,Taylor Townsend,USA,1094105
347,Kristina Barrois,GER,1088997
348,Catherine Bellis,USA,1087219
349,Caroline Vis,NED,1086821
350,Joannette Kruger,RSA,1083908
351,Greta Arn,HUN,1083271
352,Stephanie Cohen Aloro,FRA,1080922
353,Naomi Broady,GBR,1080222
354,Rossana De Los Rios,PAR,1077550
355,Anastasiya Yakimova,BLR,1075275
356,Radka Zrubakova,SVK,1074479
357,Marta Domachowska,POL,1063111
358,Maria Teresa Torró Flor,ESP,1054057
359,Teliana Pereira,BRA,1053454
360,Gala Leon Garcia,ESP,1053309
361,Betty Stove,NED,1047356
362,Marianne Werdel Witmeyer,USA,1045983
363,Martina Müller,GER,1042511
364,Nao Hibino,JPN,1037150
365,Arina Rodionova,AUS,1033773
366,Ksenia Pervak,RUS,1024792
367,Ashley Harkleroad,USA,1022094
368,Tiantian Sun,CHN,1019657
369,Jamie Hampton,USA,1017477
370,Betsy Nagelsen,USA,1016519
371,Laura Golarsa,ITA,1012453
372,Patricia Hy Boulais,CAN,1011116
373,Mariana Diaz Oliva,ARG,1009342
374,Laura Arraya,PER,1002294
375,Cristina Torrens Valero,ESP,1000722
376,Ekaterina Bychkova,RUS,1000612
377,Jennifer Brady,USA,997214
378,Kai Chen Chang,TPE,995475
379,Petra Mandula,HUN,991024
380,Camille Pin,FRA,980663
